"sourceId","IDtype"
"10140183","chemspider"
"10140190","chemspider"
"10140198","chemspider"
"10140216","chemspider"
"101405","pubchem"
"10142","entrez"
"10142653","pubchem"
"10143","pubchem"
"10143380","pubchem"
"10144","entrez"
"10145712","chemspider"
"10146","entrez"
"10147","entrez"
"10148","entrez"
"10148626","chemspider"
"10149","entrez"
"1015","pubchem"
"10151","entrez"
"10152","entrez"
"10153","entrez"
"101536","pubchem"
"10154","entrez"
"101543","pubchem"
"10155","entrez"
"10156","entrez"
"10157","entrez"
"10159","entrez"
"1016","entrez"
"10160","entrez"
"10160255","chemspider"
"10160731","chemspider"
"101609","pubchem"
"10161","entrez"
"101611880","pubchem"
"10162","entrez"
"10163","entrez"
"1016357","chebi"
"10164","entrez"
"101641","chemspider"
"10165","entrez"
"10166","entrez"
"10168","entrez"
"101685","pubchem"
"101688","pubchem"
"10169083","chemspider"
"1017","entrez"
"10170","entrez"
"101708","pubchem"
"10171","entrez"
"101711","pubchem"
"10171359","pubchem"
"101716","pubchem"
"10172","entrez"
"101722","chemspider"
"101731","pubchem"
"10174","entrez"
"10174551","chemspider"
"10174581","pubchem"
"101748","pubchem"
"10174971","chemspider"
"10175","entrez"
"101750","pubchem"
"10175754","chemspider"
"10175793","chemspider"
"101761","pubchem"
"10176277","pubchem"
"10176752","pubchem"
"10176995","chemspider"
"10176999","chemspider"
"101770","pubchem"
"10177002","pubchem"
"101771","pubchem"
"10178463","pubchem"
"1017870","chebi"
"101790","pubchem"
"10179087","chemspider"
"1018","pubchem"
"10180","pubchem"
"10180765","chemspider"
"10181","entrez"
"10181338","chemspider"
"10181339","chemspider"
"10181341","chemspider"
"10182038","chemspider"
"10183330","chemspider"
"10184","entrez"
"10185","chemspider"
"101850","pubchem"
"101853","chebi"
"10186979","chemspider"
"10186980","chemspider"
"10188","entrez"
"10189","entrez"
"10189090","pubchem"
"10189562","chemspider"
"1019","entrez"
"10190206","chemspider"
"10190950","chemspider"
"101925465","pubchem"
"10192699","chemspider"
"10192700","chemspider"
"10192793","chemspider"
"10193","entrez"
"101930123","entrez"
"10193870","chemspider"
"10194104","chemspider"
"10194105","chemspider"
"10194106","chemspider"
"10195","entrez"
"10196","entrez"
"101964","pubchem"
"101967","chebi"
"10197","entrez"
"10197108","chemspider"
"10197144","chemspider"
"10197150","chemspider"
"101977","pubchem"
"10197713","pubchem"
"10197839","pubchem"
"10198007","pubchem"
"10198648","pubchem"
"101989","pubchem"
"10198924","pubchem"
"10199","entrez"
"10199004","pubchem"
"10199055","pubchem"
"10199754","chemspider"
"102","entrez"
"1020","entrez"
"10200","entrez"
"10200272","pubchem"
"10201","entrez"
"10202","entrez"
"10202285","chemspider"
"10203","entrez"
"102030","pubchem"
"10203511","chemspider"
"10204","pubchem"
"102045","chebi"
"10205904","chemspider"
"10206","entrez"
"10207","entrez"
"10208","pubchem"
"10208360","chemspider"
"10209","entrez"
"10209313","chemspider"
"1021","entrez"
"10210","entrez"
"10210000","chemspider"
"10210001","chemspider"
"10210002","chemspider"
"10211","entrez"
"10211258","chemspider"
"10211353","chemspider"
"10211354","chemspider"
"10211355","chemspider"
"10211356","chemspider"
"10211375","chemspider"
"10211376","chemspider"
"10211379","chemspider"
"10211392","chemspider"
"10211393","chemspider"
"10211471","chemspider"
"10211473","chemspider"
"10212","entrez"
"10213","entrez"
"102130","chebi"
"10214","pubchem"
"10214256","chemspider"
"10214435","pubchem"
"102146","pubchem"
"102157402","entrez"
"10216","chebi"
"102166","chebi"
"10216687","chemspider"
"10216923","chemspider"
"10216924","chemspider"
"10217","pubchem"
"102172","pubchem"
"10217307","chemspider"
"102175","pubchem"
"10217517","chemspider"
"102182","pubchem"
"10218455","chemspider"
"10218753","chemspider"
"10219","entrez"
"10219125","chemspider"
"10219774","pubchem"
"1022","entrez"
"1022-31-7","cas"
"10220107","pubchem"
"10220444","pubchem"
"10220719","pubchem"
"10221","chebi"
"10221026","pubchem"
"102216","chebi"
"10221696","chemspider"
"10222475","chemspider"
"10223","chebi"
"10224","entrez"
"10225","entrez"
"10226","entrez"
"10226117","chemspider"
"102265","chebi"
"10228","entrez"
"10228095","pubchem"
"10228270","chemspider"
"10229","entrez"
"10229562","chemspider"
"10229612","chemspider"
"10229959","chemspider"
"1023","chemspider"
"10230","chemspider"
"10231","entrez"
"10231886","chemspider"
"10232","entrez"
"10232900","chemspider"
"10234798","chemspider"
"10235","chemspider"
"10235300","chemspider"
"10235598","chemspider"
"10236","entrez"
"10236014","pubchem"
"10236635","pubchem"
"10236767","chemspider"
"10237057","pubchem"
"10237579","chemspider"
"10238","entrez"
"10239","entrez"
"10239063","chemspider"
"10239179","chemspider"
"1024","entrez"
"10240","entrez"
"102408","chebi"
"10241","entrez"
"10241527","pubchem"
"10241731","chemspider"
"10242","entrez"
"10243","entrez"
"102430","pubchem"
"10243361","pubchem"
"102436","pubchem"
"10244","entrez"
"10244594","pubchem"
"10244953","pubchem"
"10245","entrez"
"10245047","pubchem"
"10245104","pubchem"
"10245190","pubchem"
"10245972","pubchem"
"10246","entrez"
"102461","pubchem"
"10246110","pubchem"
"10246417","chemspider"
"102474","chemspider"
"10248","entrez"
"102484","chebi"
"10248513","chemspider"
"10249","entrez"
"1025","entrez"
"10250","entrez"
"102515","pubchem"
"102515208","pubchem"
"10251740","chemspider"
"10252","entrez"
"10252339","pubchem"
"102524","chebi"
"10252448","chemspider"
"102526","pubchem"
"10253","entrez"
"10253562","pubchem"
"10254","entrez"
"102544","pubchem"
"10254628","chemspider"
"10254648","chemspider"
"10254649","chemspider"
"10254650","chemspider"
"10254652","chemspider"
"10254757","chemspider"
"10254759","chemspider"
"10254760","chemspider"
"10254761","chemspider"
"102550","pubchem"
"10255010","pubchem"
"10255482","pubchem"
"10255809","chemspider"
"10255824","pubchem"
"10256","entrez"
"102562","chemspider"
"10257","entrez"
"10257122","chemspider"
"102571761","pubchem"
"102571764","pubchem"
"102571771","pubchem"
"102571775","pubchem"
"102571777","pubchem"
"102571781","pubchem"
"102571787","pubchem"
"102571804","pubchem"
"102576","chemspider"
"10258","pubchem"
"10258454","pubchem"
"10258687","chemspider"
"1026","entrez"
"10260","entrez"
"10260120","pubchem"
"102601223","pubchem"
"102604","pubchem"
"10260601","chemspider"
"10260607","chemspider"
"10260613","chemspider"
"10260614","chemspider"
"10261","chemspider"
"102615","pubchem"
"10262","entrez"
"10263","pubchem"
"102630","chebi"
"10264","pubchem"
"10264377","pubchem"
"102648","pubchem"
"10265329","pubchem"
"10265686","pubchem"
"10265811","pubchem"
"10266","entrez"
"102667","pubchem"
"10267","entrez"
"10267199","pubchem"
"102677","pubchem"
"10268","entrez"
"102684","pubchem"
"10269","entrez"
"102690","chemspider"
"102694","chemspider"
"1027","entrez"
"10270","entrez"
"10270302","chemspider"
"10270303","chemspider"
"10270304","chemspider"
"10272","entrez"
"10272269","chemspider"
"102723532","entrez"
"102723555","entrez"
"102723996","entrez"
"102724334","entrez"
"102724428","entrez"
"102724560","entrez"
"102724594","entrez"
"102724652","entrez"
"102724788","entrez"
"102724985","entrez"
"10272879","chemspider"
"10272880","chemspider"
"10272881","chemspider"
"10272882","chemspider"
"10273","entrez"
"10273166","chemspider"
"10274","entrez"
"102750","chemspider"
"102758","chemspider"
"10275812","chemspider"
"10275814","chemspider"
"10276","entrez"
"10276001","chemspider"
"10276086","chemspider"
"10276573","chemspider"
"10276632","pubchem"
"10276704","chemspider"
"10277","entrez"
"10278459","chemspider"
"10279","pubchem"
"102793","chemspider"
"102795","chemspider"
"1028","entrez"
"10280","chebi"
"102800","chemspider"
"102800317","entrez"
"10280317","chemspider"
"10281","pubchem"
"102819","chemspider"
"10282","entrez"
"10282248","chemspider"
"102829","chemspider"
"10283","entrez"
"10283325","chemspider"
"10283343","chemspider"
"10284","entrez"
"10285","entrez"
"102855","pubchem"
"10286","entrez"
"102861","pubchem"
"10286365","pubchem"
"102864","chemspider"
"10286568","chemspider"
"102866","chemspider"
"10286933","chemspider"
"10287","entrez"
"102870","chemspider"
"10288","entrez"
"102881","chemspider"
"102884","chemspider"
"10289","entrez"
"10289039","chemspider"
"10289044","chemspider"
"102892","pubchem"
"10289893","chemspider"
"10289904","chemspider"
"10289996","chemspider"
"10289997","chemspider"
"1029","entrez"
"10290002","chemspider"
"10290019","chemspider"
"10290090","chemspider"
"10290093","chemspider"
"10291","entrez"
"10291340","chemspider"
"10291382","chemspider"
"102916","pubchem"
"102926","pubchem"
"10293","entrez"
"102939","chemspider"
"10294","entrez"
"10294194","chemspider"
"10295","entrez"
"102959","pubchem"
"10296","pubchem"
"10296259","chemspider"
"102967","pubchem"
"10296888","chemspider"
"10297","entrez"
"10297786","chemspider"
"10298","entrez"
"10298355","chemspider"
"10298511","pubchem"
"10298558","pubchem"
"10298689","chemspider"
"10299","entrez"
"102992","chemspider"
"102993","pubchem"
"102998","chemspider"
"102999","chemspider"
"103","entrez"
"1030","entrez"
"103005","pubchem"
"103012","chemspider"
"103019","pubchem"
"10301919","chemspider"
"10302","entrez"
"103026","chemspider"
"10302852","chemspider"
"103031","chemspider"
"103035","chemspider"
"10304","chemspider"
"1030421","chebi"
"103046","chemspider"
"10304630","chemspider"
"103047","chemspider"
"1030566","chebi"
"10305901","chemspider"
"10306019","chemspider"
"10306188","chemspider"
"10306193","chemspider"
"10307217","chemspider"
"1030794","chebi"
"10308","entrez"
"10309487","chemspider"
"103096","chemspider"
"1031","entrez"
"103109","chemspider"
"10311044","pubchem"
"103115","chemspider"
"10311534","chemspider"
"103116","chemspider"
"10312","pubchem"
"103124","chemspider"
"10313","entrez"
"10313247","pubchem"
"10314080","pubchem"
"10315","chemspider"
"10315987","pubchem"
"10316","entrez"
"10317","entrez"
"10317002","pubchem"
"10317069","pubchem"
"10318","entrez"
"103183","chebi"
"10319","entrez"
"103192-48-9","cas"
"103195","chemspider"
"1032","entrez"
"10320624","pubchem"
"10321","entrez"
"10324","entrez"
"10325","entrez"
"10326","entrez"
"10326164","pubchem"
"10327","entrez"
"10327320","pubchem"
"10328904","pubchem"
"10329","chebi"
"1033","entrez"
"10330295","pubchem"
"10331","entrez"
"10332","entrez"
"10332932","pubchem"
"10333","entrez"
"10333900","chemspider"
"10334","chebi"
"10335","entrez"
"10336","entrez"
"10337297","pubchem"
"10338075","pubchem"
"10338211","pubchem"
"10338214","chemspider"
"103389","chebi"
"10339178","pubchem"
"10339247","pubchem"
"10340","chemspider"
"10340350","pubchem"
"10341","pubchem"
"1034151","chebi"
"10341941","pubchem"
"10342","entrez"
"10342292","pubchem"
"10342405","pubchem"
"10342604","chemspider"
"10344","entrez"
"10344454","pubchem"
"10345","entrez"
"10346","entrez"
"1034670","chebi"
"10346914","pubchem"
"10347","entrez"
"10347565","pubchem"
"10348","chemspider"
"10348020","pubchem"
"10348545","pubchem"
"10348646","pubchem"
"10349","entrez"
"10349245","chemspider"
"10350","entrez"
"10350317","pubchem"
"10350652","pubchem"
"10351","entrez"
"10352","entrez"
"10352939","chemspider"
"10353","pubchem"
"10354902","pubchem"
"10355","chemspider"
"10355717","pubchem"
"10355824","pubchem"
"10357","chebi"
"10357912","pubchem"
"10359949","chemspider"
"1036","entrez"
"10360","chebi"
"10360893","pubchem"
"10361526","chemspider"
"10361658","pubchem"
"10362","entrez"
"10362664","chemspider"
"10363","chemspider"
"1036324","chebi"
"10363911","chemspider"
"10364","pubchem"
"10364815","pubchem"
"10365","entrez"
"10367","entrez"
"10368","entrez"
"10368587","chemspider"
"10368940","pubchem"
"10369","entrez"
"10369168","pubchem"
"10369209","chemspider"
"1037","chemspider"
"10370","entrez"
"10371","entrez"
"10371106","pubchem"
"10371554","pubchem"
"103729","chebi"
"10373084","pubchem"
"103739","pubchem"
"10374706","pubchem"
"10375655","pubchem"
"10375946","pubchem"
"10376","entrez"
"10377006","pubchem"
"10377789","pubchem"
"10378654","pubchem"
"103788","pubchem"
"10379","entrez"
"10379616","chemspider"
"103799","chebi"
"1038","pubchem"
"10380","entrez"
"10380830","pubchem"
"10381","entrez"
"10381323","pubchem"
"10381543","chemspider"
"10381709","pubchem"
"10381845","pubchem"
"10382","entrez"
"10382471","pubchem"
"10383","entrez"
"10383657","chemspider"
"10384","entrez"
"10385","entrez"
"10385385","pubchem"
"10385496","pubchem"
"10386463","pubchem"
"10387002","pubchem"
"1038735","chebi"
"10387428","chemspider"
"10388","entrez"
"1039","chemspider"
"10390","entrez"
"10390690","chemspider"
"10390741","chemspider"
"103910","entrez"
"10392","entrez"
"10392835","chemspider"
"10393","entrez"
"10394","entrez"
"10394234","pubchem"
"10394786","pubchem"
"10395","entrez"
"10395150","chemspider"
"10396","entrez"
"10396175","chemspider"
"1039679","chebi"
"10396926","pubchem"
"10397","entrez"
"103973","chebi"
"10398","entrez"
"10398072","pubchem"
"10398364","chemspider"
"10398490","pubchem"
"10399","entrez"
"10399059","pubchem"
"103993","pubchem"
"104","entrez"
"1040","entrez"
"10400","entrez"
"10400369","pubchem"
"10400591","chemspider"
"10400593","chemspider"
"10401","entrez"
"104011","chebi"
"10401147","pubchem"
"10402","entrez"
"10402297","pubchem"
"10403","entrez"
"10403706","pubchem"
"10404","chemspider"
"104040","chemspider"
"10404353","pubchem"
"10404448","pubchem"
"10404741","pubchem"
"10405091","pubchem"
"10405466","chemspider"
"10405903","chemspider"
"10408200","pubchem"
"1040837","pubchem"
"10408856","chemspider"
"10408882","chemspider"
"1041","entrez"
"10410","entrez"
"10411","entrez"
"10411120","chemspider"
"10413","entrez"
"10413272","chemspider"
"10413926","pubchem"
"10414","chemspider"
"10414856","pubchem"
"10415","chebi"
"10415542","pubchem"
"10415767","pubchem"
"10416073","pubchem"
"10417","entrez"
"10417998","pubchem"
"10418","entrez"
"10419","entrez"
"104192","chemspider"
"10420","entrez"
"1042026","pubchem"
"10421","entrez"
"10422","entrez"
"10423","entrez"
"10424","chemspider"
"10424294","pubchem"
"10424295","pubchem"
"10424698","chemspider"
"10424762","pubchem"
"10424832","pubchem"
"10425","entrez"
"10425624","pubchem"
"10426","entrez"
"10426996","chemspider"
"10427","entrez"
"10427569","pubchem"
"10427684","chemspider"
"10428","chemspider"
"10428959","pubchem"
"1043","entrez"
"10430","pubchem"
"10430190","pubchem"
"10432","chebi"
"10432264","pubchem"
"10432278","pubchem"
"10432493","pubchem"
"10433","chemspider"
"10434","entrez"
"10434225","pubchem"
"104349","chemspider"
"10435","entrez"
"10435776","chemspider"
"10436","entrez"
"10436276","pubchem"
"10437","entrez"
"10437124","chemspider"
"10437816","chemspider"
"10438","entrez"
"10438502","pubchem"
"10438564","chemspider"
"10438979","chemspider"
"10439353","chemspider"
"1044","pubchem"
"10440","entrez"
"104404-17-3","cas"
"10441","chebi"
"10441314","chemspider"
"10441592","chemspider"
"104421","pubchem"
"10442212","chemspider"
"10442251","pubchem"
"10442362","pubchem"
"10442445","chemspider"
"10442628","chemspider"
"10442653","chemspider"
"10442740","chemspider"
"10443441","chemspider"
"10444297","pubchem"
"10444697","chemspider"
"10444796","chemspider"
"10445","entrez"
"10446240","chemspider"
"10446887","chemspider"
"10446897","pubchem"
"10447","entrez"
"10447539","chemspider"
"10448","pubchem"
"10448019","pubchem"
"10449","entrez"
"10449043","pubchem"
"1045","entrez"
"10450","entrez"
"10450773","pubchem"
"10450920","pubchem"
"10451","entrez"
"10452","entrez"
"10452846","pubchem"
"10454","entrez"
"10455","entrez"
"10456312","pubchem"
"10457","entrez"
"10458","entrez"
"10459","entrez"
"10459878","pubchem"
"10459879","pubchem"
"1046","pubchem"
"10460","entrez"
"10460648","pubchem"
"104607","pubchem"
"10461","entrez"
"10462","entrez"
"104620","pubchem"
"10462318","pubchem"
"10462651","pubchem"
"10463","entrez"
"10463441","pubchem"
"10464","chemspider"
"10465","entrez"
"10465039","chemspider"
"10465112","chemspider"
"10465398","pubchem"
"10465484","pubchem"
"10465540","pubchem"
"10466","entrez"
"10466550","pubchem"
"10466989","pubchem"
"10467","pubchem"
"10467478","pubchem"
"10468","entrez"
"10468408","pubchem"
"10468512","chemspider"
"10468539","chemspider"
"10468576","chemspider"
"10468587","pubchem"
"10468603","chemspider"
"10468813","chemspider"
"10468814","chemspider"
"10468895","pubchem"
"10469","entrez"
"10469369","chemspider"
"10469486","chemspider"
"10469527","chemspider"
"10469728","pubchem"
"1047","pubchem"
"10470","chemspider"
"10470670","chemspider"
"10471","entrez"
"10471161","chemspider"
"10472","chebi"
"104721","pubchem"
"104722","pubchem"
"104727","pubchem"
"10472729","chemspider"
"104729","pubchem"
"104734","pubchem"
"10473686","chemspider"
"104739","pubchem"
"10474","entrez"
"104741","pubchem"
"10474509","pubchem"
"10474667","chemspider"
"104748","pubchem"
"10475","entrez"
"104753","pubchem"
"104755","pubchem"
"104756","pubchem"
"104757","pubchem"
"104758","pubchem"
"104759","pubchem"
"10476","entrez"
"10477","entrez"
"104770","pubchem"
"10477119","pubchem"
"104774","pubchem"
"10477914","chemspider"
"10478","entrez"
"10478755","pubchem"
"10479","entrez"
"104798","pubchem"
"1048","entrez"
"10480","entrez"
"104806","pubchem"
"104810","pubchem"
"10481896","chemspider"
"10481920","chemspider"
"10481973","chemspider"
"10481982","chemspider"
"10482","entrez"
"104820","pubchem"
"10482000","chemspider"
"10482007","chemspider"
"10482034","chemspider"
"10482075","chemspider"
"10482082","chemspider"
"10482117","chemspider"
"10482163","chemspider"
"10482167","chemspider"
"10482168","chemspider"
"10482174","chemspider"
"10482302","chemspider"
"10482314","chemspider"
"104826","chemspider"
"10483","entrez"
"104838","pubchem"
"10484","entrez"
"104842","pubchem"
"10484617","pubchem"
"104848","pubchem"
"10484893","pubchem"
"104850","pubchem"
"104856","pubchem"
"104858","pubchem"
"10486","entrez"
"104865","pubchem"
"10486535","chemspider"
"10487","entrez"
"10488","entrez"
