"pathwayRampId","inPathway","total"
"RAMP_P_000000254",4,12960
"RAMP_P_000000255",22,12960
"RAMP_P_000000256",45,12960
"RAMP_P_000000257",3,12960
"RAMP_P_000000258",23,12960
"RAMP_P_000000259",17,12960
"RAMP_P_000000260",19,12960
"RAMP_P_000000261",28,12960
"RAMP_P_000000262",4,12960
"RAMP_P_000000263",1,12960
"RAMP_P_000000264",17,12960
"RAMP_P_000000265",4,12960
"RAMP_P_000000266",56,12960
"RAMP_P_000000267",6,12960
"RAMP_P_000000268",30,12960
"RAMP_P_000000269",25,12960
"RAMP_P_000000270",14,12960
"RAMP_P_000000271",19,12960
"RAMP_P_000000272",57,12960
"RAMP_P_000000273",9,12960
"RAMP_P_000000274",1,12960
"RAMP_P_000000275",56,12960
"RAMP_P_000000276",22,12960
"RAMP_P_000000277",27,12960
"RAMP_P_000000278",26,12960
"RAMP_P_000000279",28,12960
"RAMP_P_000000280",33,12960
"RAMP_P_000000281",5,12960
"RAMP_P_000000282",20,12960
"RAMP_P_000000283",56,12960
"RAMP_P_000000284",22,12960
"RAMP_P_000000285",27,12960
"RAMP_P_000000286",4,12960
"RAMP_P_000000287",14,12960
"RAMP_P_000000288",4,12960
"RAMP_P_000000289",4,12960
"RAMP_P_000000290",19,12960
"RAMP_P_000000291",4,12960
"RAMP_P_000000292",9,12960
"RAMP_P_000000293",4,12960
"RAMP_P_000000294",8,12960
"RAMP_P_000000295",4,12960
"RAMP_P_000000296",14,12960
"RAMP_P_000000297",15,12960
"RAMP_P_000000298",27,12960
"RAMP_P_000000299",28,12960
"RAMP_P_000000300",28,12960
"RAMP_P_000000301",27,12960
"RAMP_P_000000302",30,12960
"RAMP_P_000000303",15,12960
"RAMP_P_000000304",0,12960
"RAMP_P_000000305",2,12960
"RAMP_P_000000306",28,12960
"RAMP_P_000000307",4,12960
"RAMP_P_000000308",4,12960
"RAMP_P_000000309",28,12960
"RAMP_P_000000310",23,12960
"RAMP_P_000000311",44,12960
"RAMP_P_000000312",20,12960
"RAMP_P_000000313",27,12960
"RAMP_P_000000314",27,12960
"RAMP_P_000000315",10,12960
"RAMP_P_000000316",11,12960
"RAMP_P_000000317",57,12960
